,app,area,detailsUrl,expired,houseTypeValue,id,location,lotSize,market,openHouseDate,openHouseTimes,openhouse,photo,price,priceToShow,showoffColor,showoffCustomText,showoffPhotoText,spotlight,veiling,lat,lng
551,True,59,/te-koop/noord+holland/groot-amsterdam/amsterdam/1091bd/tilanusstraat+31+1/9624273/overzicht,False,Appartement,9624273,"{'street': 'Tilanusstraat 31 1', 'zipcode': '1091BD', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,5002B7C63552C057DF1879BD212480C9,425000,425000,,,,False,False,52.35856,4.911529
552,False,118,/te-koop/noord+holland/groot-amsterdam/amsterdam/1067sj/willem+mulierhof+45/10247110/overzicht,False,Bungalow,10247110,"{'street': 'Willem Mulierhof 45', 'zipcode': '1067SJ', 'city': 'AMSTERDAM'}",726,sale,,,False,08B0964589C20350FDCD3635F4BAB3D1,800000,800000,,,,False,False,52.374105,4.793207
553,False,313,/te-koop/noord+holland/groot-amsterdam/amsterdam/1013jk/haarlemmerdijk+186/11838955/overzicht,False,Herenhuis,11838955,"{'street': 'Haarlemmerdijk 186', 'zipcode': '1013JK', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,8CA63EB019E0AE5D9BD0B74AC99029B8,1500000,1500000,,,,False,False,52.384226,4.884594
554,False,132,/te-koop/noord+holland/groot-amsterdam/amsterdam/1098na/galileiplantsoen+34/10594602/overzicht,False,Herenhuis,10594602,"{'street': 'Galileiplantsoen 34', 'zipcode': '1098NA', 'city': 'AMSTERDAM'}",120,sale,,,False,7D1A979D1D80C76A9213DA8F13A78B9D,800000,800000,,,,False,False,52.352861,4.938861
555,True,129,/te-koop/noord+holland/groot-amsterdam/amsterdam/1012ex/oudezijds+voorburgwal+217+b/9598746/overzicht,False,Appartement,9598746,"{'street': 'Oudezijds Voorburgwal 217 B', 'zipcode': '1012EX', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,3C84BF75FCAF465DE3B7E214133A3B71,1050000,1050000,,,,False,False,52.370347,4.894942
556,True,75,/te-koop/noord+holland/groot-amsterdam/amsterdam/1083tp/havikshorst+123/10253283/overzicht,False,Appartement,10253283,"{'street': 'Havikshorst 123', 'zipcode': '1083TP', 'city': 'AMSTERDAM'}",80,sale,,,False,44DCB459A9EFBFD6427D6C82637B3B00,325000,325000,,,,False,False,52.33191,4.885069
557,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1013zm/spaarndammerdijk+7+x/10513536/overzicht,False,Appartement,10513536,"{'street': 'Spaarndammerdijk 7 X', 'zipcode': '1013ZM', 'city': 'AMSTERDAM'}",2256,sale,,,False,49049A72DB3D9DC05043CBB184351565,490000,490000,,,,False,False,52.391711,4.877796
558,False,107,/te-koop/noord+holland/groot-amsterdam/amsterdam/1063ap/hendrik+dienskestraat+26/10243978/overzicht,False,Woning,10243978,"{'street': 'Hendrik Dienskestraat 26', 'zipcode': '1063AP', 'city': 'AMSTERDAM'}",156,sale,,,False,04B710FA9F60C513B8BD8AD2860C17C4,575000,575000,,,,False,False,52.383619,4.836938
559,False,161,/te-koop/noord+holland/groot-amsterdam/amsterdam/1068ms/prof+j+h+gunningstraat+52/15635089/overzicht,False,Eengezinswoning,15635089,"{'street': 'Prof J H Gunningstraat 52', 'zipcode': '1068MS', 'city': 'AMSTERDAM'}",143,sale,,,False,300C109EC583908724AA0309427B15FE,549500,549500,,,,False,False,0.0,0.0
560,False,110,/te-koop/noord+holland/groot-amsterdam/amsterdam/_/tekkopstraat+107/15630769/overzicht,False,Woning,15630769,"{'street': 'Tekkopstraat 107', 'zipcode': None, 'city': 'AMSTERDAM'}",130,sale,,,False,01EDB28306DFC3528EB69339F8D4ADC0,300000,300000,,,,False,False,0.0,0.0
561,False,374,/te-koop/noord+holland/groot-amsterdam/amsterdam/1028az/poppendammergouw+32/9606412/overzicht,False,Woonboerderij,9606412,"{'street': 'Poppendammergouw 32', 'zipcode': '1028AZ', 'city': 'AMSTERDAM'}",7160,sale,,,False,6082BF8D2CA7AB58E75C88990F7D75B7,1500000,1500000,,,,False,False,52.419626,5.024254
562,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1034sn/voorsteven+76/15044406/overzicht,False,Bovenwoning,15044406,"{'street': 'Voorsteven 76', 'zipcode': '1034SN', 'city': 'AMSTERDAM'}",90,sale,,,False,DA01D004B8DC91BEC7622E5F7DA6ED55,285000,285000,,,,False,False,0.0,0.0
563,True,103,/te-koop/noord+holland/groot-amsterdam/amsterdam/1054vz/wilhelminastraat+89+3/10544240/overzicht,False,Bovenwoning,10544240,"{'street': 'Wilhelminastraat 89 3', 'zipcode': '1054VZ', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,DB72E2C5A36F387727A76208DE89BEA9,750000,750000,,,,False,False,52.361539,4.863491
564,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1072bk/frans+halsstraat+29/15634595/overzicht,False,Bovenwoning,15634595,"{'street': 'Frans Halsstraat 29', 'zipcode': '1072BK', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,B7D7746BD6A8DF31122AFC071A5086D5,575000,575000,,,,False,False,52.357146,4.888982
565,True,104,/te-koop/noord+holland/groot-amsterdam/amsterdam/1057hr/baarsjesweg+193+-d/15633288/overzicht,False,Penthouse,15633288,"{'street': 'Baarsjesweg 193 -D', 'zipcode': '1057HR', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,02322DF0F959336796B61B6D853F8CC4,620000,620000,,,,False,False,0.0,0.0
566,True,54,/te-koop/noord+holland/groot-amsterdam/amsterdam/1091cz/blasiusstraat+156+-ii/15634661/overzicht,False,Bovenwoning,15634661,"{'street': 'Blasiusstraat 156 -II', 'zipcode': '1091CZ', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,B42DD9A5C360867DEEA382D0F422A29B,300000,300000,,,,False,False,52.35758,4.913462
567,False,65,/te-koop/noord+holland/groot-amsterdam/amsterdam/1033ks/sinaasappelstraat+8/9607263/overzicht,False,Eengezinswoning,9607263,"{'street': 'SINAASAPPELSTRAAT 8', 'zipcode': '1033KS', 'city': 'AMSTERDAM'}",75,sale,,,False,C903B6FCDCFA16F61924A227D4AF7895,289011,289011,,,,False,False,52.409723,4.899487
568,True,58,/te-koop/noord+holland/groot-amsterdam/amsterdam/1072er/ceintuurbaan+7+i/10248666/overzicht,False,Bovenwoning,10248666,"{'street': 'Ceintuurbaan 7 I', 'zipcode': '1072ER', 'city': 'AMSTERDAM'}",72,sale,,,False,8A752091D30B5E98131E7CA392A3F795,400000,400000,,,,False,False,52.352438,4.887229
569,True,255,/te-koop/noord+holland/groot-amsterdam/amsterdam/1071be/van+baerlestraat+142+ii/10562630/overzicht,False,Bovenwoning,10562630,"{'street': 'Van Baerlestraat 142 II', 'zipcode': '1071BE', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,0ECCCF05F5FB899DA56E753F22489900,1750000,1750000,,,,False,False,52.354461,4.880895
570,False,212,/te-koop/noord+holland/groot-amsterdam/amsterdam/1019wx/scheepstimmermanstraat+6/10235695/overzicht,False,Herenhuis,10235695,"{'street': 'Scheepstimmermanstraat 6', 'zipcode': '1019WX', 'city': 'AMSTERDAM'}",91,sale,,,False,E7714AFD24A65AF4D5D7EDDB1BC6816B,1049000,1049000,,,,False,False,52.371965,4.947405
571,False,302,/te-koop/noord+holland/groot-amsterdam/amsterdam/1035pm/zuideinde+286/9607568/overzicht,False,Vrijstaande woning,9607568,"{'street': 'Zuideinde 286', 'zipcode': '1035PM', 'city': 'AMSTERDAM'}",1470,sale,,,False,2CD66E27C15E39792AB5DF9468DB3ACF,1395000,1395000,,,,False,False,52.422591,4.890231
572,False,103,/te-koop/noord+holland/groot-amsterdam/amsterdam/1026cg/durgerdammerdijk+119/6902695/overzicht,False,Eengezinswoning,6902695,"{'street': 'Durgerdammerdijk 119', 'zipcode': '1026CG', 'city': 'AMSTERDAM'}",265,sale,,,False,4E95BCFF9E388C3331A6E0FB7C9E3C84,700000,700000,,,,False,False,52.378324,4.992121
573,False,150,/te-koop/noord+holland/groot-amsterdam/amsterdam/1025ms/diopter+80/9605659/overzicht,False,Tussenwoning,9605659,"{'street': 'Diopter 80', 'zipcode': '1025MS', 'city': 'AMSTERDAM'}",167,sale,,,False,3E330E21896C679AC2F5CC386AFF3A63,539080,539080,,,,False,False,52.408917,4.931652
574,False,285,/te-koop/noord+holland/groot-amsterdam/amsterdam/1054dv/eerste+helmersstraat+201/11898385/overzicht,False,Tussenwoning,11898385,"{'street': 'Eerste Helmersstraat 201', 'zipcode': '1054DV', 'city': 'AMSTERDAM'}",90,sale,,,False,1A3CB241E1A8B623F388218342BC1FDA,1650000,1650000,,,,False,False,52.361478,4.867852
575,False,140,/te-koop/noord+holland/groot-amsterdam/amsterdam/1015hg/nieuwe+leliestraat+186/6901804/overzicht,False,Herenhuis,6901804,"{'street': 'Nieuwe Leliestraat 186', 'zipcode': '1015HG', 'city': 'AMSTERDAM'}",48,sale,,,False,CBA002C39B3AFC0938EC0A60B6078E2F,890000,890000,,,,False,False,52.374706,4.877932
576,True,101,/te-koop/noord+holland/groot-amsterdam/amsterdam/1058cg/van+walbeeckstraat+23-3+++4/15138643/overzicht,False,Bovenwoning,15138643,"{'street': 'Van Walbeeckstraat 23-3 + 4', 'zipcode': '1058CG', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,FE332624D3AA448B8982803116E541D0,590000,590000,,,,False,False,52.360512,4.850819
577,True,58,/te-koop/noord+holland/groot-amsterdam/amsterdam/1055vl/anna+van+burenstraat+17+i/14249272/overzicht,False,Appartement,14249272,"{'street': 'Anna van Burenstraat 17 I', 'zipcode': '1055VL', 'city': 'AMSTERDAM'}",58,sale,,,False,211D11E29BF0A059EBB3625DDA98AF05,275000,275000,,,,False,False,52.380022,4.860247
578,False,94,/te-koop/noord+holland/groot-amsterdam/amsterdam/1087bb/joris+ivensstraat+7/15440354/overzicht,False,Herenhuis,15440354,"{'street': 'Joris Ivensstraat 7', 'zipcode': '1087BB', 'city': 'AMSTERDAM'}",45,sale,,,False,2FA879785931FF0CFCE3925BD6700681,469000,469000,,,,False,False,0.0,0.0
579,False,100,/te-koop/noord+holland/groot-amsterdam/amsterdam/1068mz/hoekenes+60/9618153/overzicht,False,Woning,9618153,"{'street': 'Hoekenes 60', 'zipcode': '1068MZ', 'city': 'AMSTERDAM'}",235,sale,,,False,3085F53F122057105785FF9B901CE5A5,475000,475000,,,,False,False,52.354419,4.801676
580,False,144,/te-koop/noord+holland/groot-amsterdam/amsterdam/1035nt/kadoelenweg+380/9607549/overzicht,False,Herenhuis,9607549,"{'street': 'Kadoelenweg 380', 'zipcode': '1035NT', 'city': 'AMSTERDAM'}",505,sale,,,False,002A51BCE995D784875CFEA12CE4A48C,975000,975000,,,,False,False,52.410653,4.90706
581,True,59,/te-koop/noord+holland/groot-amsterdam/amsterdam/1091bd/tilanusstraat+31+1/9624273/overzicht,False,Appartement,9624273,"{'street': 'Tilanusstraat 31 1', 'zipcode': '1091BD', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,5002B7C63552C057DF1879BD212480C9,425000,425000,,,,False,False,52.35856,4.911529
582,False,118,/te-koop/noord+holland/groot-amsterdam/amsterdam/1067sj/willem+mulierhof+45/10247110/overzicht,False,Bungalow,10247110,"{'street': 'Willem Mulierhof 45', 'zipcode': '1067SJ', 'city': 'AMSTERDAM'}",726,sale,,,False,08B0964589C20350FDCD3635F4BAB3D1,800000,800000,,,,False,False,52.374105,4.793207
583,False,313,/te-koop/noord+holland/groot-amsterdam/amsterdam/1013jk/haarlemmerdijk+186/11838955/overzicht,False,Herenhuis,11838955,"{'street': 'Haarlemmerdijk 186', 'zipcode': '1013JK', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,8CA63EB019E0AE5D9BD0B74AC99029B8,1500000,1500000,,,,False,False,52.384226,4.884594
584,False,132,/te-koop/noord+holland/groot-amsterdam/amsterdam/1098na/galileiplantsoen+34/10594602/overzicht,False,Herenhuis,10594602,"{'street': 'Galileiplantsoen 34', 'zipcode': '1098NA', 'city': 'AMSTERDAM'}",120,sale,,,False,7D1A979D1D80C76A9213DA8F13A78B9D,800000,800000,,,,False,False,52.352861,4.938861
585,True,129,/te-koop/noord+holland/groot-amsterdam/amsterdam/1012ex/oudezijds+voorburgwal+217+b/9598746/overzicht,False,Appartement,9598746,"{'street': 'Oudezijds Voorburgwal 217 B', 'zipcode': '1012EX', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,3C84BF75FCAF465DE3B7E214133A3B71,1050000,1050000,,,,False,False,52.370347,4.894942
586,True,75,/te-koop/noord+holland/groot-amsterdam/amsterdam/1083tp/havikshorst+123/10253283/overzicht,False,Appartement,10253283,"{'street': 'Havikshorst 123', 'zipcode': '1083TP', 'city': 'AMSTERDAM'}",80,sale,,,False,44DCB459A9EFBFD6427D6C82637B3B00,325000,325000,,,,False,False,52.33191,4.885069
587,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1013zm/spaarndammerdijk+7+x/10513536/overzicht,False,Appartement,10513536,"{'street': 'Spaarndammerdijk 7 X', 'zipcode': '1013ZM', 'city': 'AMSTERDAM'}",2256,sale,,,False,49049A72DB3D9DC05043CBB184351565,490000,490000,,,,False,False,52.391711,4.877796
588,False,107,/te-koop/noord+holland/groot-amsterdam/amsterdam/1063ap/hendrik+dienskestraat+26/10243978/overzicht,False,Woning,10243978,"{'street': 'Hendrik Dienskestraat 26', 'zipcode': '1063AP', 'city': 'AMSTERDAM'}",156,sale,,,False,04B710FA9F60C513B8BD8AD2860C17C4,575000,575000,,,,False,False,52.383619,4.836938
589,False,161,/te-koop/noord+holland/groot-amsterdam/amsterdam/1068ms/prof+j+h+gunningstraat+52/15635089/overzicht,False,Eengezinswoning,15635089,"{'street': 'Prof J H Gunningstraat 52', 'zipcode': '1068MS', 'city': 'AMSTERDAM'}",143,sale,,,False,300C109EC583908724AA0309427B15FE,549500,549500,,,,False,False,0.0,0.0
590,False,110,/te-koop/noord+holland/groot-amsterdam/amsterdam/_/tekkopstraat+107/15630769/overzicht,False,Woning,15630769,"{'street': 'Tekkopstraat 107', 'zipcode': None, 'city': 'AMSTERDAM'}",130,sale,,,False,01EDB28306DFC3528EB69339F8D4ADC0,300000,300000,,,,False,False,0.0,0.0
591,False,374,/te-koop/noord+holland/groot-amsterdam/amsterdam/1028az/poppendammergouw+32/9606412/overzicht,False,Woonboerderij,9606412,"{'street': 'Poppendammergouw 32', 'zipcode': '1028AZ', 'city': 'AMSTERDAM'}",7160,sale,,,False,6082BF8D2CA7AB58E75C88990F7D75B7,1500000,1500000,,,,False,False,52.419626,5.024254
592,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1034sn/voorsteven+76/15044406/overzicht,False,Bovenwoning,15044406,"{'street': 'Voorsteven 76', 'zipcode': '1034SN', 'city': 'AMSTERDAM'}",90,sale,,,False,DA01D004B8DC91BEC7622E5F7DA6ED55,285000,285000,,,,False,False,0.0,0.0
593,True,103,/te-koop/noord+holland/groot-amsterdam/amsterdam/1054vz/wilhelminastraat+89+3/10544240/overzicht,False,Bovenwoning,10544240,"{'street': 'Wilhelminastraat 89 3', 'zipcode': '1054VZ', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,DB72E2C5A36F387727A76208DE89BEA9,750000,750000,,,,False,False,52.361539,4.863491
594,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1072bk/frans+halsstraat+29/15634595/overzicht,False,Bovenwoning,15634595,"{'street': 'Frans Halsstraat 29', 'zipcode': '1072BK', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,B7D7746BD6A8DF31122AFC071A5086D5,575000,575000,,,,False,False,52.357146,4.888982
595,True,104,/te-koop/noord+holland/groot-amsterdam/amsterdam/1057hr/baarsjesweg+193+-d/15633288/overzicht,False,Penthouse,15633288,"{'street': 'Baarsjesweg 193 -D', 'zipcode': '1057HR', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,02322DF0F959336796B61B6D853F8CC4,620000,620000,,,,False,False,0.0,0.0
596,True,54,/te-koop/noord+holland/groot-amsterdam/amsterdam/1091cz/blasiusstraat+156+-ii/15634661/overzicht,False,Bovenwoning,15634661,"{'street': 'Blasiusstraat 156 -II', 'zipcode': '1091CZ', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,B42DD9A5C360867DEEA382D0F422A29B,300000,300000,,,,False,False,52.35758,4.913462
597,False,65,/te-koop/noord+holland/groot-amsterdam/amsterdam/1033ks/sinaasappelstraat+8/9607263/overzicht,False,Eengezinswoning,9607263,"{'street': 'SINAASAPPELSTRAAT 8', 'zipcode': '1033KS', 'city': 'AMSTERDAM'}",75,sale,,,False,C903B6FCDCFA16F61924A227D4AF7895,289011,289011,,,,False,False,52.409723,4.899487
598,True,58,/te-koop/noord+holland/groot-amsterdam/amsterdam/1072er/ceintuurbaan+7+i/10248666/overzicht,False,Bovenwoning,10248666,"{'street': 'Ceintuurbaan 7 I', 'zipcode': '1072ER', 'city': 'AMSTERDAM'}",72,sale,,,False,8A752091D30B5E98131E7CA392A3F795,400000,400000,,,,False,False,52.352438,4.887229
599,True,255,/te-koop/noord+holland/groot-amsterdam/amsterdam/1071be/van+baerlestraat+142+ii/10562630/overzicht,False,Bovenwoning,10562630,"{'street': 'Van Baerlestraat 142 II', 'zipcode': '1071BE', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,0ECCCF05F5FB899DA56E753F22489900,1750000,1750000,,,,False,False,52.354461,4.880895
600,False,212,/te-koop/noord+holland/groot-amsterdam/amsterdam/1019wx/scheepstimmermanstraat+6/10235695/overzicht,False,Herenhuis,10235695,"{'street': 'Scheepstimmermanstraat 6', 'zipcode': '1019WX', 'city': 'AMSTERDAM'}",91,sale,,,False,E7714AFD24A65AF4D5D7EDDB1BC6816B,1049000,1049000,,,,False,False,52.371965,4.947405
601,False,302,/te-koop/noord+holland/groot-amsterdam/amsterdam/1035pm/zuideinde+286/9607568/overzicht,False,Vrijstaande woning,9607568,"{'street': 'Zuideinde 286', 'zipcode': '1035PM', 'city': 'AMSTERDAM'}",1470,sale,,,False,2CD66E27C15E39792AB5DF9468DB3ACF,1395000,1395000,,,,False,False,52.422591,4.890231
602,False,103,/te-koop/noord+holland/groot-amsterdam/amsterdam/1026cg/durgerdammerdijk+119/6902695/overzicht,False,Eengezinswoning,6902695,"{'street': 'Durgerdammerdijk 119', 'zipcode': '1026CG', 'city': 'AMSTERDAM'}",265,sale,,,False,4E95BCFF9E388C3331A6E0FB7C9E3C84,700000,700000,,,,False,False,52.378324,4.992121
603,False,150,/te-koop/noord+holland/groot-amsterdam/amsterdam/1025ms/diopter+80/9605659/overzicht,False,Tussenwoning,9605659,"{'street': 'Diopter 80', 'zipcode': '1025MS', 'city': 'AMSTERDAM'}",167,sale,,,False,3E330E21896C679AC2F5CC386AFF3A63,539080,539080,,,,False,False,52.408917,4.931652
604,False,285,/te-koop/noord+holland/groot-amsterdam/amsterdam/1054dv/eerste+helmersstraat+201/11898385/overzicht,False,Tussenwoning,11898385,"{'street': 'Eerste Helmersstraat 201', 'zipcode': '1054DV', 'city': 'AMSTERDAM'}",90,sale,,,False,1A3CB241E1A8B623F388218342BC1FDA,1650000,1650000,,,,False,False,52.361478,4.867852
605,False,140,/te-koop/noord+holland/groot-amsterdam/amsterdam/1015hg/nieuwe+leliestraat+186/6901804/overzicht,False,Herenhuis,6901804,"{'street': 'Nieuwe Leliestraat 186', 'zipcode': '1015HG', 'city': 'AMSTERDAM'}",48,sale,,,False,CBA002C39B3AFC0938EC0A60B6078E2F,890000,890000,,,,False,False,52.374706,4.877932
606,True,101,/te-koop/noord+holland/groot-amsterdam/amsterdam/1058cg/van+walbeeckstraat+23-3+++4/15138643/overzicht,False,Bovenwoning,15138643,"{'street': 'Van Walbeeckstraat 23-3 + 4', 'zipcode': '1058CG', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,FE332624D3AA448B8982803116E541D0,590000,590000,,,,False,False,52.360512,4.850819
607,True,58,/te-koop/noord+holland/groot-amsterdam/amsterdam/1055vl/anna+van+burenstraat+17+i/14249272/overzicht,False,Appartement,14249272,"{'street': 'Anna van Burenstraat 17 I', 'zipcode': '1055VL', 'city': 'AMSTERDAM'}",58,sale,,,False,211D11E29BF0A059EBB3625DDA98AF05,275000,275000,,,,False,False,52.380022,4.860247
608,False,94,/te-koop/noord+holland/groot-amsterdam/amsterdam/1087bb/joris+ivensstraat+7/15440354/overzicht,False,Herenhuis,15440354,"{'street': 'Joris Ivensstraat 7', 'zipcode': '1087BB', 'city': 'AMSTERDAM'}",45,sale,,,False,2FA879785931FF0CFCE3925BD6700681,469000,469000,,,,False,False,0.0,0.0
609,False,100,/te-koop/noord+holland/groot-amsterdam/amsterdam/1068mz/hoekenes+60/9618153/overzicht,False,Woning,9618153,"{'street': 'Hoekenes 60', 'zipcode': '1068MZ', 'city': 'AMSTERDAM'}",235,sale,,,False,3085F53F122057105785FF9B901CE5A5,475000,475000,,,,False,False,52.354419,4.801676
610,False,144,/te-koop/noord+holland/groot-amsterdam/amsterdam/1035nt/kadoelenweg+380/9607549/overzicht,False,Herenhuis,9607549,"{'street': 'Kadoelenweg 380', 'zipcode': '1035NT', 'city': 'AMSTERDAM'}",505,sale,,,False,002A51BCE995D784875CFEA12CE4A48C,975000,975000,,,,False,False,52.410653,4.90706
611,True,59,/te-koop/noord+holland/groot-amsterdam/amsterdam/1091bd/tilanusstraat+31+1/9624273/overzicht,False,Appartement,9624273,"{'street': 'Tilanusstraat 31 1', 'zipcode': '1091BD', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,5002B7C63552C057DF1879BD212480C9,425000,425000,,,,False,False,52.35856,4.911529
612,False,118,/te-koop/noord+holland/groot-amsterdam/amsterdam/1067sj/willem+mulierhof+45/10247110/overzicht,False,Bungalow,10247110,"{'street': 'Willem Mulierhof 45', 'zipcode': '1067SJ', 'city': 'AMSTERDAM'}",726,sale,,,False,08B0964589C20350FDCD3635F4BAB3D1,800000,800000,,,,False,False,52.374105,4.793207
613,False,313,/te-koop/noord+holland/groot-amsterdam/amsterdam/1013jk/haarlemmerdijk+186/11838955/overzicht,False,Herenhuis,11838955,"{'street': 'Haarlemmerdijk 186', 'zipcode': '1013JK', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,8CA63EB019E0AE5D9BD0B74AC99029B8,1500000,1500000,,,,False,False,52.384226,4.884594
614,False,132,/te-koop/noord+holland/groot-amsterdam/amsterdam/1098na/galileiplantsoen+34/10594602/overzicht,False,Herenhuis,10594602,"{'street': 'Galileiplantsoen 34', 'zipcode': '1098NA', 'city': 'AMSTERDAM'}",120,sale,,,False,7D1A979D1D80C76A9213DA8F13A78B9D,800000,800000,,,,False,False,52.352861,4.938861
615,True,129,/te-koop/noord+holland/groot-amsterdam/amsterdam/1012ex/oudezijds+voorburgwal+217+b/9598746/overzicht,False,Appartement,9598746,"{'street': 'Oudezijds Voorburgwal 217 B', 'zipcode': '1012EX', 'city': 'AMSTERDAM'}",Onbekend,sale,,,False,3C84BF75FCAF465DE3B7E214133A3B71,1050000,1050000,,,,False,False,52.370347,4.894942
616,True,75,/te-koop/noord+holland/groot-amsterdam/amsterdam/1083tp/havikshorst+123/10253283/overzicht,False,Appartement,10253283,"{'street': 'Havikshorst 123', 'zipcode': '1083TP', 'city': 'AMSTERDAM'}",80,sale,,,False,44DCB459A9EFBFD6427D6C82637B3B00,325000,325000,,,,False,False,52.33191,4.885069
617,True,90,/te-koop/noord+holland/groot-amsterdam/amsterdam/1013zm/spaarndammerdijk+7+x/10513536/overzicht,False,Appartement,10513536,"{'street': 'Spaarndammerdijk 7 X', 'zipcode': '1013ZM', 'city': 'AMSTERDAM'}",2256,sale,,,False,49049A72DB3D9DC05043CBB184351565,490000,490000,,,,False,False,52.391711,4.877796
618,False,107,/te-koop/noord+holland/groot-amsterdam/amsterdam/1063ap/hendrik+dienskestraat+26/10243978/overzicht,False,Woning,10243978,"{'street': 'Hendrik Dienskestraat 26', 'zipcode': '1063AP', 'city': 'AMSTERDAM'}",156,sale,,,False,04B710FA9F60C513B8BD8AD2860C17C4,575000,575000,,,,False,False,52.383619,4.836938
